"Location","Year","Trial","Experiment.Name","Design","Index","AIC","logLik","Moran I statistic","Expectation","Variance","p Value","CV"
"Lind","2021","F5 SP","2021 Lind SWW F5 SP","Augmented ","Control","409.23902507714","-202.61951253857","0.2988607327226","-0.00242130750605327","0.00130103702430373","3.33516525883408e-17","15.4475712672127"
"Lind","2021","F5 SP","2021 Lind SWW F5 SP","Augmented ","Can_Cover","238.240725084997","-116.120362542498","0.33012794003806","-0.00242130750605327","0.00130146017587115","1.51232086357645e-20","13.9899785988443"
"Lind","2021","F5 SP","2021 Lind SWW F5 SP","Augmented ","NDVI","185.010615502689","-89.5053077513445","0.296159509294155","-0.00242130750605327","0.00130178414475902","6.39775715672337e-17","12.3503623731237"
"Lind","2021","F5 SP","2021 Lind SWW F5 SP","Augmented ","NDRE2","191.496262672755","-92.7481313363777","0.138880429661061","-0.00242130750605327","0.00130043478066711","4.4578614053261e-05","14.5709140161886"
"Ritzville","2021","F5 SP","2021 Lind@RIT SWW F5 SP","Augmented ","Control","390.723070254968","-193.361535127484","0.433520233442792","-0.00242130750605327","0.00127368599970975","1.29090093144231e-34","16.7701184714575"
"Ritzville","2021","F5 SP","2021 Lind@RIT SWW F5 SP","Augmented ","Can_Cover","384.764852248058","-189.382426124029","0.434280920975626","-0.00242130750605327","0.00127457896645491","1.04689611949581e-34","17.4068172193551"
"Ritzville","2021","F5 SP","2021 Lind@RIT SWW F5 SP","Augmented ","NDVI","387.302838407508","-190.651419203754","0.432349233026745","-0.00242130750605327","0.00127441291249729","2.01548381113632e-34","17.785045860645"
"Ritzville","2021","F5 SP","2021 Lind@RIT SWW F5 SP","Augmented ","NDRE2","354.643914670384","-174.321957335192","0.404745920777814","-0.00242130750605327","0.00127461654772035","1.98119681488411e-30","16.7507699593408"
"Pullman","2021","DH SP","2021 Pullman Hard DH SP","Augmented ","Control","135.480937983418","-65.740468991709","0.0347154399026813","-0.00740740740740741","0.00372684901694734","0.245098227862548","18.8818816024535"
"Pullman","2021","DH SP","2021 Pullman Hard DH SP","Augmented ","Can_Cover","113.123276679527","-53.5616383397633","-0.0118052049627792","-0.00740740740740741","0.00356564834185334","0.529355100625256","17.1830576799343"
"Pullman","2021","DH SP","2021 Pullman Hard DH SP","Augmented ","NDVI","100.202967004215","-47.1014835021075","-0.0252673384890318","-0.00740740740740741","0.00352463115030573","0.618228409357966","16.5898028565051"
"Pullman","2021","DH SP","2021 Pullman Hard DH SP","Augmented ","NDRE2","107.392460465325","-50.6962302326625","-0.0433561723743204","-0.00740740740740741","0.00345398773187282","0.729624924736803","16.9044433796849"
"Pullman","2021","F5 SP","2021 Pullman Hard F5 SP","Augmented ","Control","252.455659575283","-124.227829787641","0.36511944376648","-0.00398406374501992","0.00211895788733939","5.35714228935824e-16","13.1049742572954"
"Pullman","2021","F5 SP","2021 Pullman Hard F5 SP","Augmented ","Can_Cover","206.885443414023","-100.442721707012","0.237876144822068","-0.00398406374501992","0.00212093631417881","7.53474261235242e-08","12.0350520002584"
"Pullman","2021","F5 SP","2021 Pullman Hard F5 SP","Augmented ","NDVI","152.091845381271","-73.0459226906354","0.17601707381037","-0.00398406374501992","0.00211713760513208","4.57642792844488e-05","10.8499354546828"
"Pullman","2021","F5 SP","2021 Pullman Hard F5 SP","Augmented ","NDRE2","125.555724063932","-59.7778620319661","0.137745870824186","-0.00398406374501992","0.00211638771344603","0.00103221489544725","10.2541755630732"
"Pullman","2021","DH SP","2021 Pullman SWW DH SP","Augmented ","Control","226.215817277181","-111.10790863859","0.109303494803397","-0.00429184549356223","0.00228527339794765","0.00874489443135579","13.1066397979892"
"Pullman","2021","DH SP","2021 Pullman SWW DH SP","Augmented ","Can_Cover","221.525510929297","-107.762755464649","0.121302433440935","-0.00429184549356223","0.0022841775204841","0.00429598673879607","12.945625449515"
"Pullman","2021","DH SP","2021 Pullman SWW DH SP","Augmented ","NDVI","175.070356029816","-84.535178014908","0.148027922709042","-0.00429184549356223","0.00227831351065423","0.000708496839646074","11.7008903037903"
"Pullman","2021","DH SP","2021 Pullman SWW DH SP","Augmented ","NDRE2","156.417843814182","-75.2089219070908","0.077537672021981","-0.00429184549356223","0.00227878543781798","0.0432471664511914","11.2099184004723"
"Pullman","2021","F5 SP","2021 Pullman SWW F5 SP","Augmented ","Control","463.586147101865","-229.793073550932","0.452603922411607","-0.00214132762312634","0.00112478331910641","3.49519996302579e-42","12.7181130706877"
"Pullman","2021","F5 SP","2021 Pullman SWW F5 SP","Augmented ","Can_Cover","327.785545661101","-160.89277283055","0.332198879765769","-0.00214132762312634","0.00112563881289676","1.08142498094414e-23","10.6977548614516"
"Pullman","2021","F5 SP","2021 Pullman SWW F5 SP","Augmented ","NDVI","249.815412731335","-121.907706365668","0.246769440324569","-0.00214132762312634","0.00112526747613249","5.84703684205583e-14","9.94276015507495"
"Pullman","2021","F5 SP","2021 Pullman SWW F5 SP","Augmented ","NDRE2","295.943550158734","-144.971775079367","0.34634393671409","-0.00214132762312634","0.00112558092727312","1.41864319249586e-25","10.3282381262701"
"Pullman","2022","F5 SP","2022 HiRain SWW F5 SP#1","Augmented ","Control","186.117005966571","-91.0585029832854","0.082288190729834","-0.0050761421319797","0.00269219704268611","0.0461138220926268","8.99733627455893"
"Pullman","2022","F5 SP","2022 HiRain SWW F5 SP#1","Augmented ","Can_Cover","188.279018354881","-91.1395091774403","0.0788530351407065","-0.0050761421319797","0.00269250875789651","0.0528891685059577","8.98135685343803"
"Pullman","2022","F5 SP","2022 HiRain SWW F5 SP#1","Augmented ","NDVI","186.186102217997","-90.0930511089987","0.104455623830693","-0.0050761421319797","0.00269295455140206","0.0173992478598629","9.00334418104362"
"Pullman","2022","F5 SP","2022 HiRain SWW F5 SP#1","Augmented ","NDRE2","176.841361777664","-85.4206808888322","0.100918789929196","-0.0050761421319797","0.0026940476945021","0.0205695344554029","9.22470715969038"
"Pullman","2022","F5 SP","2022 HiRain SWW F5 SP#2","Augmented ","Control","174.754993264789","-85.3774966323946","0.0897418490644093","-0.00558659217877095","0.00291758310448351","0.0387934391432516","7.5442742300382"
"Pullman","2022","F5 SP","2022 HiRain SWW F5 SP#2","Augmented ","Can_Cover","176.549901433628","-85.2749507168142","0.0887180259490378","-0.00558659217877095","0.00291920997659175","0.0404557726489979","7.53683523113509"
"Pullman","2022","F5 SP","2022 HiRain SWW F5 SP#2","Augmented ","NDVI","170.395449815439","-82.1977249077194","0.10726827392639","-0.00558659217877095","0.00289597833774328","0.017991615165431","7.40319721284368"
"Pullman","2022","F5 SP","2022 HiRain SWW F5 SP#2","Augmented ","NDRE2","162.922931447206","-78.4614657236032","0.0836316588645633","-0.00558659217877095","0.00290857835075916","0.0490336531354245","7.24917312833729"
"Walla_Walla","2021","AHR2","2021 AHR2 WAW","Alpha-Lattice","Control","93.9171475879077","-10.9585737939539","0.391387716507883","-0.00934579439252336","0.00517838463446912","1.28279219514877e-08","4.49309662952813"
"Walla_Walla","2021","AHR2","2021 AHR2 WAW","Alpha-Lattice","Can_Cover","82.55000633428","-4.27500316713998","0.391387716507883","-0.00934579439252336","0.00517838463446912","1.28279219514877e-08","6.98583748265171"
"Walla_Walla","2021","AHR2","2021 AHR2 WAW","Alpha-Lattice","NDVI","89.6625030123761","-7.83125150618805","0.391387716507883","-0.00934579439252336","0.00517838463446912","1.28279219514877e-08","9.22985540995581"
"Walla_Walla","2021","AHR2","2021 AHR2 WAW","Alpha-Lattice","NDRE2","69.7799669798906","2.11001651005471","0.391387716507883","-0.00934579439252336","0.00517838463446912","1.28279219514877e-08","8.38671655921795"
"Lind","2020","AHR1","2020 AHR1 LND","Alpha-Lattice","Control","68.8245592936644","1.58772035316779","-0.0514943965076207","-0.00934579439252336","0.00514103468882966","0.721679596661269","14.7065379996629"
"Lind","2020","AHR1","2020 AHR1 LND","Alpha-Lattice","Can_Cover","14.5782298215149","29.7108850892425","-0.0514943965076207","-0.00934579439252336","0.00514103468882966","0.721679596661269","13.6606262946932"
"Lind","2020","AHR1","2020 AHR1 LND","Alpha-Lattice","NDVI","37.9433534779571","18.0283232610215","-0.0514943965076207","-0.00934579439252336","0.00514103468882966","0.721679596661269","8.05496816113861"
"Lind","2020","AHR1","2020 AHR1 LND","Alpha-Lattice","NDRE2","37.173385363331","18.4133073183345","-0.0514943965076207","-0.00934579439252336","0.00514103468882966","0.721679596661269","7.5778898827458"
"Ritzville","2020","AHR1","2020 AHR1 RIT","Alpha-Lattice","Control","66.2440940491441","2.87795297542793","-0.0208315269297966","-0.00934579439252336","0.00513619011373771","0.563663758136824","13.5949779653264"
"Ritzville","2020","AHR1","2020 AHR1 RIT","Alpha-Lattice","Can_Cover","68.76988571439","2.61505714280499","-0.0208315269297966","-0.00934579439252336","0.00513619011373771","0.563663758136824","13.8770044675337"
"Ritzville","2020","AHR1","2020 AHR1 RIT","Alpha-Lattice","NDVI","69.2404602856685","2.37976985716575","-0.0208315269297966","-0.00934579439252336","0.00513619011373771","0.563663758136824","13.428456700612"
"Ritzville","2020","AHR1","2020 AHR1 RIT","Alpha-Lattice","NDRE2","68.4544445873725","2.77277770631375","-0.0208315269297966","-0.00934579439252336","0.00513619011373771","0.563663758136824","14.6886531777424"
